0,0
0.01,0
0.02,0.001
0.03,0.002
0.04,0.006
0.05,0.013
0.06,0.025
0.07,0.042
0.082,0.072
0.092,0.106
0.102,0.148
0.112,0.198
0.122,0.256
0.132,0.323
0.142,0.397
0.152,0.481
0.162,0.572
0.172,0.672
0.182,0.78
0.192,0.896
0.202,1.021
0.212,1.155
0.222,1.296
0.232,1.447
0.242,1.606
0.249,1.722
0.259,1.896
0.269,2.078
0.279,2.269
0.289,2.469
0.299,2.677
0.309,2.894
0.319,3.12
0.329,3.354
0.339,3.597
0.349,3.849
0.359,4.11
0.369,4.379
0.379,4.657
0.389,4.944
0.399,5.24
0.416,5.762
0.441,6.595
0.48,7.951
0.53,9.919
0.58,12.111
0.583,12.261
0.588,12.489
0.595,12.833
0.606,13.359
0.623,14.169
0.647,15.428
0.684,17.42
0.734,20.307
0.751,21.321
0.776,22.89
0.814,25.349
0.864,28.822
0.914,32.522
0.918,32.859
0.925,33.368
0.935,34.139
0.949,35.312
0.972,37.11
1.005,39.892
1.055,44.239
1.084,46.849
1.127,50.907
1.177,55.814
1.227,60.953
1.252,63.584
1.289,67.638
1.339,73.294
1.389,79.182
1.42,82.93
1.466,88.717
1.516,95.195
1.566,101.905
1.586,104.617
1.616,108.753
1.66,115.11
1.71,122.487
1.754,129.171
1.804,136.985
1.854,145.031
1.904,153.309
1.922,156.346
1.949,160.957
1.989,168.001
2.039,176.905
2.089,185.947
2.139,195.309
2.189,204.898
2.239,214.715
2.255,217.904
2.279,222.731
2.315,230.068
2.365,240.451
2.415,251.055
2.423,252.773
2.435,255.359
2.453,259.262
2.48,265.17
2.52,274.151
2.57,285.433
2.591,290.121
2.622,297.22
2.668,308.019
2.718,319.926
2.757,329.389
2.807,341.667
2.857,354.148
2.907,366.831
2.925,371.446
2.952,378.416
2.993,388.979
3.043,402.198
3.093,415.744
3.143,429.349
3.193,443.144
3.243,457.126
3.259,461.639
3.283,468.445
3.319,478.729
3.369,493.154
3.419,507.727
3.426,509.778
3.436,512.86
3.452,517.492
3.476,524.462
3.511,534.955
3.561,549.821
3.594,559.564
3.643,574.192
3.693,589.114
3.743,604.023
3.761,609.375
3.788,617.395
3.828,629.404
3.878,644.219
3.928,658.875
3.978,673.593
4.028,688.257
4.078,702.866
4.096,708.112
4.123,715.966
4.164,727.716
4.214,742.169
4.264,756.708
4.314,771.044
4.364,785.322
4.414,799.542
4.464,813.705
4.514,827.811
4.564,841.86
4.614,855.853
4.664,869.791
4.714,883.673
4.764,897.5
4.814,911.273
4.864,924.991
4.914,938.655
4.964,952.266
5.014,965.823
5.064,979.328
5.114,992.78
5.164,1006.179
5.214,1019.527
5.264,1032.823
5.314,1046.068
5.364,1059.262
5.414,1072.405
5.464,1085.497
5.514,1098.539
5.564,1111.532
5.614,1124.474
5.664,1137.368
5.714,1150.212
5.764,1163.008
5.814,1175.755
5.864,1188.453
5.914,1201.104
5.964,1213.707
6.014,1226.262
6.064,1238.77
6.114,1251.231
6.164,1263.645
6.214,1276.013
6.264,1288.334
6.314,1300.609
6.364,1312.838
6.414,1325.022
6.464,1337.16
6.514,1349.253
6.564,1361.3
6.614,1373.303
6.664,1385.261
6.714,1397.175
6.764,1409.045
6.814,1420.87
6.864,1432.652
6.914,1444.39
6.964,1456.085
7.014,1467.736
7.064,1479.344
7.114,1490.91
7.164,1502.432
7.214,1513.912
7.264,1525.35
7.314,1536.746
7.364,1548.099
7.414,1559.411
7.464,1570.681
7.514,1581.91
7.564,1593.097
7.614,1604.243
7.664,1615.348
7.714,1626.413
7.764,1637.436
7.814,1648.419
7.864,1659.362
7.914,1670.265
7.964,1681.127
8.014,1691.95
8.064,1702.733
8.114,1713.476
8.164,1724.18
8.214,1734.844
8.264,1745.469
8.314,1756.055
8.364,1766.603
8.414,1777.111
8.464,1787.581
8.514,1798.013
8.564,1808.406
8.614,1818.761
8.664,1829.077
8.714,1839.356
8.764,1849.597
8.814,1859.8
8.864,1869.966
8.914,1880.094
8.964,1890.185
9.014,1900.238
9.064,1910.255
9.114,1920.234
9.164,1930.177
9.214,1940.083
9.264,1949.952
9.314,1959.785
9.364,1969.581
9.414,1979.341
9.464,1989.065
9.514,1998.752
9.564,2008.404
9.614,2018.02
9.664,2027.6
9.714,2037.144
9.764,2046.653
9.814,2056.126
9.864,2065.564
9.914,2074.967
9.964,2084.335
10.014,2093.668
10.064,2102.966
10.114,2112.229
10.164,2121.457
10.214,2130.65
10.264,2139.809
10.314,2148.933
10.364,2158.023
10.414,2167.079
10.464,2176.101
10.514,2185.088
10.564,2194.042
10.614,2202.961
10.664,2211.847
10.714,2220.699
10.764,2229.518
10.814,2238.303
10.864,2247.054
10.914,2255.772
10.964,2264.457
11.014,2273.108
11.064,2281.726
11.114,2290.311
11.164,2298.864
11.214,2307.383
11.264,2315.869
11.314,2324.323
11.364,2332.744
11.414,2341.132
11.464,2349.488
11.514,2357.811
11.564,2366.103
11.614,2374.361
11.664,2382.588
11.714,2390.782
11.764,2398.945
11.814,2407.075
11.864,2415.174
11.914,2423.24
11.964,2431.275
12.014,2439.278
12.064,2447.249
12.114,2455.189
12.164,2463.097
12.214,2470.974
12.264,2478.819
12.314,2486.633
12.364,2494.415
12.414,2502.167
12.464,2509.887
12.514,2517.576
12.564,2525.235
12.614,2532.862
12.664,2540.458
12.714,2548.024
12.764,2555.559
12.814,2563.063
12.864,2570.537
12.914,2577.98
12.964,2585.392
13.014,2592.774
13.064,2600.126
13.114,2607.447
13.164,2614.738
13.214,2621.999
13.264,2629.229
13.314,2636.429
13.364,2643.6
13.414,2650.74
13.464,2657.85
13.514,2664.93
13.564,2671.981
13.614,2679.002
13.664,2685.992
13.714,2692.954
13.764,2699.885
13.814,2706.787
13.864,2713.66
13.914,2720.503
13.964,2727.317
14.014,2734.101
14.064,2740.856
14.114,2747.581
14.164,2754.278
14.214,2760.945
14.264,2767.583
14.314,2774.192
14.364,2780.771
14.414,2787.322
14.464,2793.844
14.514,2800.336
14.564,2806.8
14.614,2813.235
14.664,2819.642
14.714,2826.019
14.764,2832.368
14.814,2838.688
14.864,2844.98
14.914,2851.243
14.964,2857.477
15.014,2863.683
15.064,2869.861
15.114,2876.01
15.164,2882.131
15.214,2888.223
15.264,2894.287
15.314,2900.323
15.364,2906.331
15.414,2912.311
15.464,2918.262
15.514,2924.185
15.564,2930.08
15.614,2935.947
15.664,2941.787
15.714,2947.598
15.764,2953.381
15.814,2959.136
15.864,2964.864
15.914,2970.564
15.964,2976.236
16.014,2981.88
16.064,2987.497
16.114,2993.086
16.164,2998.648
16.214,3004.182
16.264,3009.688
16.314,3015.167
16.364,3020.618
16.414,3026.042
16.464,3031.439
16.514,3036.808
16.564,3042.15
16.614,3047.465
16.664,3052.752
16.714,3058.012
16.764,3063.245
16.814,3068.45
16.864,3073.629
16.914,3078.78
16.964,3083.904
17.014,3089.001
17.064,3094.071
17.114,3099.114
17.164,3104.13
17.214,3109.119
17.264,3114.081
17.314,3119.017
17.364,3123.925
17.414,3128.807
17.464,3133.661
17.514,3138.489
17.564,3143.291
17.614,3148.065
17.664,3152.813
17.714,3157.535
17.764,3162.229
17.814,3166.897
17.864,3171.539
17.914,3176.154
17.964,3180.742
18.014,3185.304
18.064,3189.839
18.114,3194.348
18.164,3198.831
18.214,3203.287
18.264,3207.717
18.314,3212.12
18.364,3216.497
18.414,3220.848
18.464,3225.173
18.514,3229.471
18.564,3233.743
